dim1,dim2,channel,value
0,6,3,1.31092
0,6,0,14.5291
3,3,3,16.1836
3,3,2,28.74
6,3,3,15.4841
6,3,2,42.6354
6,3,1,7.76912
6,3,0,2.91995
3,0,3,6.21936
3,0,2,9.54872
6,0,3,8.22808
6,0,2,15.9102
9,0,2,10.8983
0,3,3,16.0766
0,3,2,12.3573
0,3,0,4.0116
0,0,3,1.33677
0,0,2,1.03796
0,0,0,0.201976
0,9,1,6.06683
0,9,0,10.3588
3,6,2,38.0188
3,6,1,16.8437
3,6,0,6.50124
3,9,1,33.9009
3,9,0,10.5398
6,6,2,19.1848
6,6,1,20.6209
6,6,0,4.53607
6,9,1,19.4892
6,9,0,8.18761
9,6,2,5.13996
9,6,1,68.826
9,6,0,1.15962
9,9,1,8.97342
9,9,0,1.39372
9,3,3,7.58807
9,3,2,38.4548
0,4,3,20.9083
0,4,2,15.3734
0,4,0,7.90312
3,1,3,16.3772
3,1,2,22.6568
6,1,3,10.937
6,1,2,27.9439
9,1,3,14.7152
9,1,2,29.4654
9,1,0,0.0188712
0,1,3,3.82235
0,1,2,2.98238
0,1,0,0.604544
0,7,0,13.9141
3,4,2,7.1194
3,4,1,6.26465
3,4,0,5.09968
0,10,1,6.47195
0,10,0,4.2072
3,7,2,31.5008
3,7,0,1.43136
3,10,1,18.4737
3,10,0,10.4828
6,4,2,45.7042
6,7,2,6.03025
6,7,1,44.2679
6,7,0,6.27477
9,4,2,17.9961
9,4,1,4.09044
9,7,2,0.22175
9,7,1,59.5502
9,7,0,3.54538
6,10,1,5.7056
6,10,0,5.58785
9,10,0,0.706684
0,5,3,14.0472
0,5,2,9.67475
0,5,0,11.4755
3,2,3,26.4944
3,2,2,37.4378
6,2,3,6.35053
6,2,2,28.7619
0,2,3,8.81483
0,2,2,7.15289
0,2,0,1.77015
9,2,3,20.0014
9,2,2,46.711
0,8,0,14.2734
3,5,2,22.1701
3,5,1,39.3734
3,5,0,7.17855
3,8,1,15.6148
3,8,0,3.7475
6,5,2,21.5921
6,8,1,39.8519
6,8,0,13.2807
9,5,2,11.2414
9,5,1,43.8478
9,8,2,0.448179
9,8,1,36.8184
9,8,0,1.42534
